GENDER (1=M)	MEASURED WEIGHT (LB)	REPORTED WEIGHT (LB)	MEASURED HEIGHT (IN)	REPORTED  HEIGHT (IN)	MEASURED WEIGHT (KG)	REPORTED WEIGHT (KG)	MEASURED HEIGHT (CM)	REPORTED HEIGHT (CM)
1	209.0	212	72.6	74	94.8	96.2	184.5	188.0
1	199.3	193	67.5	68	90.4	87.5	171.4	172.7
1	183.9	182	67.0	69	83.4	82.6	170.1	175.3
0	242.1	220	63.3	64	109.8	99.8	160.9	162.6
0	121.7	125	64.9	64	55.2	56.7	164.9	162.6
0	142.0	150	59.1	63	64.4	68.0	150.0	160.0
1	168.9	170	65.1	65	76.6	77.1	165.4	165.1
0	142.2	128	59.6	61	64.5	58.1	151.3	154.9
1	159.6	150	65.4	65	72.4	68.0	166.1	165.1
1	238.8	247	70.6	72	108.3	112.0	179.4	182.9
1	190.0	190	69.6	69	86.2	86.2	176.7	175.3
0	167.3	165	63.7	64	75.9	74.8	161.7	162.6
1	168.0	167	70.0	71	76.2	75.7	177.8	180.3
0	114.0	115	60.1	60	51.7	52.2	152.6	152.4
0	157.0	160	64.4	66	71.2	72.6	163.6	167.6
0	259.7	265	64.6	66	117.8	120.2	164.1	167.6
1	214.7	225	72.4	73	97.4	102.1	183.8	185.4
1	132.3	138	64.5	65	60.0	62.6	163.9	165.1
0	177.5	180	59.4	59	80.5	81.6	150.8	149.9
0	222.2	217	69.1	71	100.8	98.4	175.4	180.3
0	136.2	130	61.6	62	61.8	59.0	156.4	157.5
0	237.9	200	66.3	66	107.9	90.7	168.5	167.6
0	130.1	130	59.0	59	59.0	59.0	149.9	149.9
1	160.5	160	67.2	69	72.8	72.6	170.7	175.3
0	149.3	150	59.0	60	67.7	68.0	149.8	152.4
0	171.3	173	63.1	63	77.7	78.5	160.2	160.0
0	124.8	122	62.0	62	56.6	55.3	157.5	157.5
1	152.1	160	65.4	66	69.0	72.6	166.1	167.6
1	220.2	216	67.0	67	99.9	98.0	170.2	170.2
0	193.6	190	63.3	62	87.8	86.2	160.7	157.5
1	212.5	190	67.4	68	96.4	86.2	171.1	172.7
1	162.5	170	67.2	67	73.7	77.1	170.7	170.2
0	166.7	160	57.2	58	75.6	72.6	145.2	147.3
1	225.1	225	71.7	72	102.1	102.1	182.2	182.9
0	170.6	180	59.8	61	77.4	81.6	152.0	154.9
1	226.9	223	68.5	69	102.9	101.2	173.9	175.3
1	188.7	198	73.8	74	85.6	89.8	187.4	188.0
0	173.3	172	66.0	66	78.6	78.0	167.6	167.6
0	146.8	140	63.6	64	66.6	63.5	161.6	162.6
0	129.0	125	61.9	62	58.5	56.7	157.1	157.5
0	150.8	140	66.9	69	68.4	63.5	169.8	175.3
1	174.4	169	65.5	65	79.1	76.7	166.3	165.1
0	160.7	159	65.7	66	72.9	72.1	166.8	167.6
0	140.4	141	58.2	59	63.7	64.0	147.9	149.9
1	196.7	205	71.7	73	89.2	93.0	182.2	185.4
1	130.7	130	70.2	71	59.3	59.0	178.4	180.3
1	189.8	187	72.3	73	86.1	84.8	183.7	185.4
0	159.4	160	62.7	63	72.3	72.6	159.2	160.0
0	172.6	170	61.5	61	78.3	77.1	156.2	154.9
1	180.1	183	68.4	69	81.7	83.0	173.8	175.3
1	175.9	170	65.2	66	79.8	77.1	165.7	167.6
0	133.2	130	64.9	64	60.4	59.0	164.8	162.6
0	147.3	150	59.1	62	66.8	68.0	150.0	157.5
1	159.6	159	71.0	72	72.4	72.1	180.3	182.9
0	122.6	120	63.2	63	55.6	54.4	160.5	160.0
1	205.0	204	69.9	71	93.0	92.5	177.5	180.3
0	157.2	160	63.8	64	71.3	72.6	162.0	162.6
1	145.1	140	67.2	68	65.8	63.5	170.6	172.7
1	193.3	202	69.4	71	87.7	91.6	176.4	180.3
0	151.2	153	61.6	62	68.6	69.4	156.5	157.5
0	170.9	175	58.4	59	77.5	79.4	148.3	149.9
1	172.6	177	70.7	72	78.3	80.3	179.7	182.9
1	151.9	155	68.0	65	68.9	70.3	172.8	165.1
0	293.9	289	67.5	66	133.3	131.1	171.5	167.6
1	157.0	163	72.8	73	71.2	73.9	185.0	185.4
1	177.0	170	67.2	68	80.3	77.1	170.6	172.7
0	187.6	180	61.1	61	85.1	81.6	155.3	154.9
0	167.8	165	65.6	66	76.1	74.8	166.7	167.6
0	242.9	240	64.1	65	110.2	108.9	162.7	165.1
1	196.4	185	71.5	71	89.1	83.9	181.5	180.3
0	155.2	145	62.6	63	70.4	65.8	159.0	160.0
1	322.1	310	74.6	74	146.1	140.6	189.4	188.0
0	132.9	135	61.9	62	60.3	61.2	157.1	157.5
1	211.2	210	69.1	70	95.8	95.3	175.6	177.8
0	87.5	98	61.5	61	39.7	44.5	156.3	154.9
1	194.0	205	66.7	66	88.0	93.0	169.3	167.6
0	135.1	137	63.1	64	61.3	62.1	160.2	162.6
1	181.7	189	66.9	64	82.4	85.7	169.8	162.6
0	118.4	116	55.1	53	53.7	52.6	139.9	134.6
1	148.2	148	66.9	67	67.2	67.1	170.0	170.2
1	201.1	205	68.5	68	91.2	93.0	173.9	172.7
0	201.9	192	64.2	64	91.6	87.1	163.1	162.6
0	135.6	125	60.1	63	61.5	56.7	152.7	160.0
0	109.6	110	56.7	60	49.7	49.9	143.9	152.4
0	139.3	142	64.1	63	63.2	64.4	162.7	160.0
0	103.0	102	60.0	66	46.7	46.3	152.4	167.6
1	137.1	140	65.7	67	62.2	63.5	167.0	170.2
0	107.4	110	58.8	59	48.7	49.9	149.3	149.9
1	185.4	185	69.3	71	84.1	83.9	175.9	180.3
0	113.3	116	58.8	60	51.4	52.6	149.3	152.4
1	171.3	155	70.4	71	77.7	70.3	178.7	180.3
0	111.3	114	62.0	62	50.5	51.7	157.4	157.5
0	241.4	233	66.1	67	109.5	105.7	167.9	170.2
1	129.9	138	68.1	66	58.9	62.6	173.1	167.6
0	174.4	150	63.2	63	79.1	68.0	160.6	160.0
1	189.6	200	73.0	74	86.0	90.7	185.4	188.0
1	166.0	167	69.7	70	75.3	75.7	177.0	177.8
0	160.9	161	65.3	65	73.0	73.0	165.9	165.1
1	200.0	200	74.2	74	90.7	90.7	188.5	188.0
0	242.9	235	63.4	64	110.2	106.6	161.1	162.6
1	157.6	140	67.9	68	71.5	63.5	172.4	172.7
1	155.4	158	66.6	66	70.5	71.7	169.1	167.6
0	211.0	210	62.6	63	95.7	95.3	159.1	160.0
