CAR	ARRIVAL TIME	INTERARRIVAL TIME	SERVICE TIME	TWO LINE WAIT - ACTUAL	TWO LINE BAY - ACTUAL (1 = L)	SINGLE LINE WAIT -  MODELED	SINGLE LINE BAY - MODELED (1=L)
1	0	94	102	64	1	64	1
2	9	9	223	216	2	157	1
3	83	74	177	86	1	142	2
4	110	27	342	340	2	279	1
5	149	39	239	200	1	253	2
6	165	16	183	630	2	476	2
7	253	88	58	333	1	478	1
8	315	62	693	329	1	474	1
9	422	107	328	915	1	402	2
10	430	8	216	553	2	722	2
11	607	177	265	597	2	761	2
12	790	183	230	865	1	692	1
13	796	6	207	1090	1	837	2
14	809	13	147	663	2	903	1
15	1106	297	191	518	2	734	2
16	1253	147	277	566	2	606	1
17	1624	371	349	268	1	268	1
18	1897	273	252	350	1	310	2
19	2112	215	147	95	2	129	1
20	2255	143	104	100	2	133	1
21	2337	82	391	163	1	122	2
22	2363	26	130	101	2	129	1
23	2389	26	266	206	2	233	1
24	2389	0	190	504	1	461	2
25	2406	17	120	457	2	482	1
26	2490	84	421	605	1	518	1
27	2531	41	103	682	2	509	2
28	2563	32	224	420	2	580	2
29	2582	19	209	941	1	785	2
30	2972	390	94	250	2	457	1
31	2981	9	220	752	1	542	1
32	3029	48	93	288	2	547	2
33	3073	44	103	337	2	596	2
34	3104	31	78	542	2	639	1
35	3267	163	132	244	2	505	2
36	3313	46	600	649	1	508	1
37	3528	215	61	199	2	376	2
38	3679	151	134	109	2	286	2
39	3875	196	79	50	2	224	2
40	3937	62	377	68	2	241	2
41	4041	104	249	344	2	380	1
42	4251	210	118	384	2	304	2
43	4263	12	84	386	1	407	1
44	4430	167	414	310	1	243	2
45	4476	46	474	287	2	278	1
46	4528	52	446	714	2	559	2
47	4603	75	224	555	1	625	1
48	4708	105	259	992	2	744	1
49	4894	186	172	490	1	639	2
50	4970	76	182	603	1	735	2
51	5104	134	149	857	2	607	1
52	5185	81	127	575	1	675	1
53	5213	28	125	900	2	674	2
54	5277	64	77	967	2	710	1
55	5318	41	97	568	1	694	2
56	5503	185	176	493	1	561	1
57	5667	164	257	501	1	442	2
58	5721	54	195	611	2	519	1
59	6073	352	278	354	1	293	2
60	6274	201	82	253	2	161	1
61	6323	49	213	327	2	194	1
62	6334	11	233	365	1	310	2
63	6342	8	149	499	2	388	1
64	6349	7	83	585	1	528	2
65	6371	22	64	622	2	508	1
66	6514	143	97	508	1	429	1
67	6571	57	130	488	2	389	2
68	6921	350	725	273	2	119	1
69	6936	15	141	113	2	113	1
70	6965	29	464	225	2	225	1
71	7015	50	146	270	1	270	2
72	7041	26	135	393	1	390	2
73	7062	21	159	506	1	504	2
74	7080	18	130	574	2	574	1
75	7115	35	135	675	2	610	2
76	7329	214	93	579	1	455	1
77	7378	49	149	351	1	482	2
78	7531	153	25	347	1	346	1
79	7655	124	133	354	1	247	1
80	7671	16	186	247	2	338	2
81	7729	58	118	375	2	306	1
82	7780	51	86	442	2	373	1
83	7996	216	89	147	1	199	2
84	8046	50	113	185	1	193	1
85	8082	36	229	272	1	202	2
