BOSTON MA	NEW YORK NY	LOS ANGELES CA	CHICAGO IL	DALLAS TX	BOISE ID	POUGHKEEPSIE NY	BURLINGTON VT
10	10	18	60	20	45	10	45
30	20	25	15	16	30	15	60
45	60	45	35	25	151	38	10
20	25	75	30	10	10	30	30
5	20	60	15	30	25	25	15
10	60	40	45	10	30	40	5
20	90	25	10	30	20	15	14
30	25	8	15	45	15	20	30
20	20	50	15	45	8	90	30
45	45	10	30	20	10	98	15
45	40	10	12	15	20	70	5
45	30	30	30	20	15	35	13
40	30	15	30	30	20	20	10
30	45	25	45	35	10	17	10
15	35	50	30	45	17	10	15
20	10	20	20	5	10	10	55
15	60	30	20	45	15	138	20
30	45	20	15	20	20	20	30
10	30	45	25	8	20	20	45
15	15	30	45	25	30	138	20
60	5	60	60	30	5	15	15
60	15	30	15	15	15	50	30
30	50	20	28	60	20	10	30
30	40	15	30	40	30	42	7
35	45	30	30	20	20	30	1
40	40	60	60	5	15	25	20
45	30	30	30	30	15	15	15
60	138	15	45	20	10	20	5
5	10	35	30	60	15	15	10
30	30	40	12	15	10	20	10
20	80	5	45	20	5	20	35
45	90	30	20	45	22	25	5
15	45	40	10	15	20	13	15
45	30	20	15	20	30	55	10
15	50	10	45	2	5	20	20
50	20	45	45	30	50	50	3
30	105	30	35	10	20	40	5
40	40	15	60	25	15	30	20
15	10	25	20	25	35	45	20
40	50	25	20	45	15	30	20
45	60	5	20	45	30	1	30
30	45	90	30	45	25	55	15
10	15	30	4	30	60	10	5
45	60	15	80	25	20	20	30
25	25	60	45	30	5	138	25
25	25	20	30	30	10	9	20
35	35	60	60	15	30	5	3
30	45	30	45	35	5	25	20
12	138	25	25	25	60	35	5
15	30	25	30	10	1	10	45
15	40	141	10	30	7	10	10
20	45	30	30	5	60	20	10
30	50	18	75	15	30	70	25
1	15	35	90	30	15	25	40
5	10	25	25	25	26	40	30
30	30	60	15	5	18	25	50
50	15	20	20	35	20	75	20
45	10	40	30	75	15	5	15
45	60	15	77	20	20	138	7
30	45	16	45	10	1	10	70
5	30	25	5	20	20	15	30
30	75	30	30	25	20	10	5
45	60	15	20	25	20	6	25
25	25	15	12	30	7	12	20
40	70	20	20	60	20	138	40
10	45	30	20	15	10	30	30
30	45	20	30	5	3	35	25
60	15	20	15	10	25	90	35
50	10	60	15	15	60	30	10
20	45	20	20	7	5	23	27
15	45	75	30	15	8	45	5
25	10	40	15	25	30	70	30
30	30	30	30	15	20	11	10
60	5	20	45	10	20	45	15
30	45	40	30	20	25	10	10
45	45	60	30	50	10	10	30
50	40	30	90	15	30	30	35
30	25	8	30	90	30	40	5
15	20	5	17	40	5	10	20
30	30	60	25	8	5	90	50
10	20	15	35	15	30	60	15
5	60	10	15	20	18	90	10
60	60	15	30	15	15	20	1
45	15	75	35	5	5	15	30
15	15	6	25	20	23	10	30
30	90	60	60	60	8	15	13
30	30	10	60	15	15	138	15
15	90	15	30	60	10	25	10
40	45	5	25	20	10	15	60
20	20	45	40	5	20	10	12
40	35	60	35	10	20	60	15
15	20	25	1	15	15	30	2
20	60	20	5	45	20	5	12
20	15	20	60	25	60	40	15
45	60	70	45	20	5	10	20
5	30	25	30	25	151	35	15
30	45	15	5	11	10	15	15
30	45	30	50	40	9	45	30
15	90	30	60	30	15	35	125
40	75	141	90	60	15	15	15
35	25	30	15	15	20	40	20
30	25	27	25	10	15	15	8
5	45	30	15	20	15	30	25
60	60	70	30	30	5	60	10
30	60	5	20	45	2	30	125
30	138	20	40	35	60	40	45
41	60	40	10	30	5	20	15
30	17	60	10	5	14	50	45
25	20	20	50	10	20	60	20
50	15	25	18	20	40	10	20
45	25	15	45	5	5	5	5
20	45	90	40	10	45	60	30
20	40	141	45	10	4	138	15
20	35	5	30	40	10	70	10
20	20	20	20	23	10	138	10
25	138	20	15	30	75	15	18
40	45	35	60	15	15	12	45
10	5	45	30	20	151	30	7
40	50	30	35	5	90	55	5
30	60	40	40	30	15	30	30
5	45	40	30	30	10	5	11
50	30	30	60	45	15	12	25
30	60	10	25	15	60	60	21
30	138	45	30	15	20	57	25
80	60	60	30	5	20	8	5
50	60	30	5	25	10	30	15
10	50	15	45	5	15	60	20
15	50	30	40	15	15	15	45
20	25	5	50	40	15	10	25
15	65	35	45	30	30	10	2
25	45	10	20	20	10	30	5
23	30	40	40	5	20	10	45
50	15	45	40	16	8	90	7
30	60	30	20	50	4	10	15
35	15	10	60	30	15	15	2
20	40	40	15	30	25	8	15
30	10	30	55	60	10	6	26
45	15	45	60	20	30	10	30
45	45	30	25	15	45	5	15
40	90	20	20	10	20	90	10
45	30	40	75	15	30	20	23
15	60	141	7	80	15	25	10
10	45	20	20	40	35	12	20
40	75	40	10	20	15	25	35
90	25	25	60	50	8	25	15
56	45	15	15	50	55	20	7
35	40	50	10	10	15	15	60
90	45	4	30	8	25	60	20
60	25	15	30	10	22	2	30
35	60	7	15	50	25	35	20
5	30	40	2	30	45	30	10
45	45	30	30	45	5	80	5
35	40	15	20	75	15	10	25
45	80	45	60	10	15	15	30
40	30	10	30	10	15	138	10
60	20	30	35	45	25	138	5
10	5	1	10	30	12	20	20
45	60	20	40	5	15	45	20
60	80	60	45	60	15	8	25
30	25	10	5	20	35	15	1
30	60	20	30	60	20	10	15
25	10	90	55	45	30	15	15
30	55	45	80	90	20	20	2
20	25	30	30	25	20	30	10
15	90	12	20	20	20	10	10
30	15	5	35	10	20	25	3
30	40	141	80	60	35	7	5
12	60	141	5	15	15	20	30
35	90	30	115	12	2	45	50
25	35	30	15	10	25	138	25
25	30	20	30	20	30	30	28
30	10	60	35	30	17	30	5
30	60	20	50	15	15	15	25
30	40	30	20	60	10	5	25
60	20	35	10	10	10	40	20
40	25	15	45	55	10	20	45
15	30	35	45	5	2	10	40
12	60	60	30	45	75	2	45
15	30	10	30	40	30	10	70
20	60	60	30	20	20	30	10
10	35	45	55	45	25	39	20
15	10	10	7	45	10	5	20
10	60	5	20	50	15	30	50
40	30	60	15	40	15	3	45
23	70	45	30	5	15	15	20
35	45	40	10	60	45	15	25
20	49	59	30	10	45	15	7
60	50	10	25	15	10	15	15
30	40	50	45	40	30	20	20
20	45	25	20	10	15	15	10
30	90	30	45	20	20	90	5
35	40	30	15	20	30	45	30
45	60	40	15	15	20	15	7
25	60	10	60	30	10	25	60
20	50	40	40	20	20	5	15
20	138	25	5	30	15	20	28
5	60	40	45	60	5	90	30
45	40	60	40	10	1	25	30
12	30	15	30	8	5	20	30
5	15	60	15	60	8	5	10
10	90	30	20	25	5	55	7
15	30	20	20	35	20	138	30
15	10	25	50	45	36	30	10
45	138	30	20	60	12	2	25
10	45	25	15	45	15	60	20
50	45	20	30	20	10	10	60
35	10	60	30	60	16	15	30
30	45	30	30	30	20	90	10
30	30	30	20	15	30	15	15
20	45	50	30	25	30	20	5
25	60	15	30	20	20	15	25
30	50	15	20	153	35	5	40
60	20	15	60	25	15	20	15
10	60	20	15	5	10	15	30
2	30	10	10	40	45	40	30
60	80	60	105	40	5	20	20
60	30	25	10	15	35	30	125
15	10	10	15	10	20	20	40
20	60	20	5	25	7	12	7
35	25	10	15	45	25	75	25
15	60	20	15	33	5	10	35
40	70	20	45	60	30	10	50
18	25	30	45	20	25	12	15
60	10	5	45	10	23	15	20
45	95	30	40	30	7	15	20
60	60	40	25	20	10	35	45
30	20	65	15	15	15	75	25
60	15	25	30	30	5	15	60
60	15	35	50	5	45	15	20
30	15	10	45	20	5	60	5
30	30	30	5	35	5	35	20
45	5	60	30	15	10	2	40
25	20	30	30	15	20	30	5
20	40	30	35	20	15	10	35
20	40	50	40	60	15	5	50
5	30	30	30	15	20	15	5
90	35	50	10	10	3	40	15
50	45	12	50	20	5	10	30
45	65	20	45	40	20	10	45
45	25	30	35	40	60	30	1
20	70	60	5	15	3	10	35
146	40	10	40	20	12	10	12
35	40	10	50	20	30	25	10
30	60	25	25	10	151	35	60
60	138	30	5	60	17	45	5
30	8	20	5	40	60	45	45
45	50	50	20	25	20	138	5
60	30	15	30	45	35	20	25
65	60	25	15	10	15	10	45
60	90	30	17	90	45	20	10
45	15	90	40	20	20	15	25
30	60	25	45	20	15	60	25
10	20	10	30	15	30	40	20
10	30	4	10	30	20	20	30
20	40	70	30	10	15	10	50
30	40	60	40	15	20	15	20
40	30	45	30	10	20	10	20
45	15	5	5	10	20	8	8
15	25	15	10	10	20	3	20
45	20	30	60	15	20	20	15
20	15	20	30	10	10	10	20
20	25	20	45	30	5	20	60
60	36	30	45	30	5	35	30
23	35	25	55	10	25	40	15
20	60	10	30	30	20	10	10
10	60	17	20	40	5	45	50
60	40	30	50	20	30	70	30
25	30	15	15	45	12	15	5
146	10	35	45	35	30	13	15
30	15	40	12	20	15	45	10
30	15	15	2	20	10	2	50
20	25	15	45	20	40	30	30
60	15	50	20	60	60	12	15
5	45	12	45	30	30	6	25
15	10	25	45	35	30	10	20
60	40	25	25	8	20	25	45
50	47	30	30	35	45	35	20
30	15	10	20	10	30	15	5
45	138	45	30	20	15	20	25
15	40	15	35	20	10	2	30
15	30	45	30	15	7	138	20
35	138	10	45	90	15	60	15
55	30	30	30	45	10	90	7
30	35	30	10	90	10	30	25
20	20	60	45	20	45	30	30
60	70	30	30	10	45	19	25
45	25	45	45	2	23	20	45
30	10	30	40	15	10	75	15
30	20	15	30	60	60	20	45
15	60	45	60	60	20	25	40
20	90	30	50	20	15	60	30
146	60	10	12	5	10	60	32
15	30	30	60	5	20	20	50
10	60	15	10	10	20	2	35
15	60	30	30	45	20	45	10
30	45	60	5	15	15	12	5
10	40	20	30	80	12	10	3
20	30	30	20	20	10	75	35
5	7	90	25	3	15	15	55
30	60	15	45	35	15	40	25
10	45	20	10	25	12	50	5
60	10	141	30	90	15	15	40
20	10	10	40	10	10	15	30
60	100	25	25	15	30	55	20
60	40	60	40	60	25	15	30
20	60	20	20	10	20	12	10
25	20	30	6	12	20	5	50
15	10	60	5	40	15	10	20
15	45	45	30	20	5	10	30
45	60	15	35	153	20	8	30
60	60	30	20	30	15	10	5
20	30	30	65	35	20	10	17
30	90	30	60	20	20	30	20
20	55	10	50	1	15	20	20
60	20	35	5	20	26	15	15
55	65	20	45	60	2	2	10
20	38	30	25	20	15	10	5
60	90	35	60	20	5	50	40
60	20	25	40	5	15	15	35
20	15	30	100	45	3	10	20
60	60	15	10	153	10	16	10
15	35	25	35	20	15	138	30
15	60	60	20	25	15	60	25
40	30	15	15	20	20	20	4
25	20	30	60	20	30	55	13
35	45	45	40	45	10	14	15
60	50	30	15	20	25	20	5
40	50	25	5	60	15	10	45
15	45	25	30	30	15	70	20
75	30	30	20	20	10	20	10
45	15	45	30	25	10	15	10
20	60	20	45	25	7	10	30
15	30	60	10	25	10	55	12
20	37	20	35	30	20	2	5
25	35	141	40	15	10	15	15
30	20	5	45	25	15	55	4
15	30	60	30	45	10	10	45
30	45	2	40	60	5	10	25
15	30	90	30	15	35	20	5
25	60	30	10	15	30	15	30
25	40	30	90	60	25	60	30
30	45	45	45	30	35	1	30
20	25	30	35	45	30	20	15
60	10	45	40	40	40	5	60
30	20	10	60	30	15	30	15
40	60	10	45	45	10	60	10
30	30	25	15	5	20	20	40
60	20	35	5	65	15	10	20
15	50	60	15	20	20	60	25
30	45	45	5	20	10	45	60
35	60	15	45	14	10	138	8
5	45	90	30	10	30	10	10
25	14	30	45	15	10	45	8
20	20	30	38	10	10	2	15
10	60	15	25	40	15	10	15
30	45	60	30	30	30	15	20
60	90	75	60	13	25	20	15
15	15	30	45	25	15	138	45
40	15	40	5	30	5	50	30
20	60	40	65	10	4	30	15
10	40	141	149	15	15	10	20
30	15	30	15	20	5	20	20
146	50	30	30	30	10	60	20
10	30	15	45	15	20	75	45
30	30	60	45	10	10	40	15
45	20	40	149	30	25	25	5
45	15	7	10	90	15	30	10
20	15	25	20	20	15	15	15
15	30	45	10	20	35	20	3
30	35	15	15	15	15	30	7
35	30	30	15	7	60	15	5
45	35	15	149	10	45	30	5
20	30	10	20	40	30	10	3
45	60	10	30	5	15	15	15
15	10	20	20	1	10	30	20
30	90	30	35	20	15	45	20
45	60	30	30	30	15	20	30
40	60	30	20	60	15	10	30
10	30	15	90	90	1	20	15
90	20	45	90	20	10	7	45
40	30	40	35	5	10	35	30
60	45	25	10	28	15	30	5
30	10	20	20	25	5	40	20
5	60	45	50	40	5	40	20
45	60	5	35	50	7	40	30
60	60	10	10	18	40	15	10
40	30	40	5	50	15	40	20
10	35	15	30	20	10	10	35
45	138	10	30	5	15	30	10
30	30	90	20	20	35	55	20
40	20	30	45	35	40	25	10
35	45	20	40	10	25	90	1
37	30	10	40	20	20	5	9
30	25	35	30	30	30	20	10
10	40	30	60	60	5	25	15
60	90	40	60	30	20	35	15
10	30	6	50	35	15	50	15
25	60	35	40	80	8	20	11
55	30	30	45	15	30	60	2
30	25	30	15	35	12	5	11
45	15	50	15	10	30	25	30
10	40	10	7	20	10	15	30
40	10	30	30	10	15	20	40
45	45	30	15	20	10	35	3
15	10	35	15	20	20	20	20
25	15	45	30	20	30	60	10
50	30	25	40	10	15	35	30
30	45	10	30	30	75	25	25
55	20	30	45	45	25	44	60
20	30	10	30	30	7	45	5
45	20	15	25	12	15	15	25
60	90	30	25	50	30	40	30
5	12	10	30	10	10	10	35
146	90	28	38	90	20	30	25
15	30	30	20	60	15	12	8
60	20	10	60	40	7	35	20
60	30	30	40	60	30	138	10
30	60	10	25	30	30	45	45
35	60	28	45	70	35	45	25
60	10	15	30	15	18	60	12
30	90	30	35	20	4	15	30
30	30	35	10	30	60	25	125
30	18	45	5	20	22	5	40
25	15	20	5	45	20	30	30
25	8	30	30	40	30	138	15
14	46	20	25	30	1	3	10
30	35	10	30	35	10	90	20
10	60	30	10	15	15	20	15
30	5	20	25	5	10	8	10
35	45	40	40	20	20	60	30
45	59	60	45	45	40	8	7
60	40	15	25	15	30	35	20
50	20	15	15	10	15	20	5
15	60	60	20	30	5	35	45
12	45	20	60	30	10	95	15
22	40	75	25	15	15	5	20
20	30	20	20	45	25	35	30
30	30	20	20	30	20	75	20
20	40	60	15	26	13	110	40
60	45	25	5	10	5	90	30
30	30	90	60	45	20	5	3
5	45	35	149	40	10	20	30
45	20	15	15	90	7	35	5
10	15	15	25	20	40	30	30
15	60	15	30	20	30	12	30
25	90	60	30	10	20	40	60
30	40	15	15	20	30	8	30
20	138	15	18	5	15	10	7
70	20	30	20	15	12	15	15
40	75	25	45	15	15	60	25
75	45	30	45	45	15	20	5
45	138	5	25	70	15	15	60
30	25	25	10	60	15	50	40
60	10	5	30	20	30	15	10
10	138	30	20	30	5	10	15
30	50	45	45	30	20	30	15
10	60	15	12	20	5	45	35
40	30	40	45	30	10	15	15
30	30	30	45	20	15	75	30
60	15	40	45	45	15	20	10
1	7	30	45	15	35	5	1
45	30	60	10	40	35	60	25
25	70	45	25	35	15	15	50
5	75	15	45	30	15	10	20
5	86	60	60	20	22	15	40
30	35	30	45	15	30	30	60
20	50	5	20	15	30	60	10
30	60	33	30	20	20	15	25
30	50	5	15	20	10	35	20
20	30	15	30	10	20	20	45
45	60	30	15	8	45	1	15
40	80	45	25	20	12	45	30
30	8	30	5	60	30	60	45
30	138	30	60	15	1	25	5
30	55	30	1	15	15	10	30
15	60	75	20	12	20	60	25
