DISTANCE (MI)	TIME (MIN)	FARE ($)	TOLLS ($)	TIP ($)	TOTAL PAID ($)
0.68	6	6.3	0	1.89	8.19
2.47	18	14.3	0	4.29	18.59
8.51	31	31.75	0	2.98	34.73
12.71	27	36.8	5.76	0	42.56
1.65	11	9.8	0	1.96	11.76
1.02	8	7.8	0	2.34	10.14
1.32	8	7.8	0	0	7.8
0.49	2	4.8	0	0	4.8
0.64	4	5.8	0	0	5.8
1.74	13	10.8	0	3.24	14.04
4.63	12	17.3	0	0	17.3
3.1	20	15.3	0	4.55	19.85
0.3	2	4.3	0	0.64	4.94
1.4	18	12.3	0	2.46	14.76
1.34	9	7.8	0	0	7.8
1.18	18	12.8	0	2.56	15.36
9.2	30	31.3	0	4.7	36
7.4	22	25.3	0	5.05	30.35
1.6	13	10.3	0	2.05	12.35
1.8	17	12.8	0	2.56	15.36
9.05	39	32.8	5.76	7.71	46.27
0.4	2	4.3	0	0	4.3
0.4	3	4.8	0	1.2	6
2.2	14	11.8	0	2.35	14.15
2.7	26	18.3	0	3.65	21.95
0.9	5	6.3	0	0	6.3
0.85	5	6.8	0	1.36	8.16
1.57	10	9.8	0	2.94	12.74
1.02	8	9.25	0	1.46	10.71
0.9	5	6.3	0	1	7.3
1.3	16	11.8	0	0	11.8
0.58	3	5.3	0	1.06	6.36
0.63	5	5.8	0	0	5.8
1.1	12	9.8	0	1.96	11.76
0.45	3	4.8	0	0.48	5.28
1.45	4	6.8	0	1.5	8.3
2.41	17	13.3	0	2.66	15.96
1.66	11	9.8	0	1.96	11.76
1.1	8	7.8	0	1.56	9.36
1.47	13	10.3	0	0	10.3
2.47	25	16.8	0	3.02	19.82
0.57	2	4.8	0	0.96	5.76
0.66	5	6.3	0	0	6.3
0.7	6	6.3	0	1.58	7.88
0.79	7	6.8	0	2	8.8
0.85	8	7.3	0	1.46	8.76
1.14	24	13.8	0	0	13.8
1	13	9.3	0	0	9.3
1.28	9	8.8	0	1.76	10.56
2	20	14.3	0	0	14.3
1.4	11	9.3	0	1.5	10.8
1	7	6.8	0	1.35	8.15
1.1	8	7.8	0	2.3	10.1
4.1	12	15.8	0	0	15.8
1.1	10	8.8	0	1.75	10.55
4.2	22	18.3	0	1.5	19.8
0.9	8	7.3	0	0	7.3
1.5	8	8.8	0	1	9.8
0.03	1	3.3	0	0	3.3
1.93	16	13.75	0	2.36	16.11
2.35	37	21.8	0	0	21.8
1.32	9	8.8	0	0	8.8
2.89	17	14.3	0	2.86	17.16
6.89	30	27.3	0	5.46	32.76
2.2	15	12.3	0	0	12.3
2.1	11	10.3	0	0	10.3
5.42	36	25.3	0	5.06	30.36
0.84	4	6.3	0	1.26	7.56
2.23	17	13.3	0	3.32	16.62
1.9	18	12.8	0	1.5	14.3
1.43	8	8.3	0	1.66	9.96
2	13	10.8	0	2.15	12.95
0.6	3	5.3	0	1.3	6.6
1.8	25	16.3	0	1.5	17.8
3.32	25	17.8	0	3.56	21.36
1.11	11	8.8	0	0	8.8
1	8	7.8	0	2	9.8
2.15	19	13.8	0	2.76	16.56
0.65	5	5.8	0	1.16	6.96
1.2	8	7.8	0	0	7.8
1.9	11	10.3	0	0	10.3
0.8	6	6.3	0	1.2	7.5
0.6	6	6.3	0	2	8.3
0.4	3	4.8	0	0	4.8
0.5	4	5.3	0	0	5.3
0.4	7	6.3	0	0	6.3
1	10	8.8	0	2	10.8
5.5	24	22.3	0	0	22.3
2.09	9	10.3	0	0	10.3
1.27	10	8.3	0	2.08	10.38
1.23	10	8.8	0	1.76	10.56
20.76	55	59.8	0	0	59.8
1.22	13	10.3	0	0	10.3
1.14	9	7.8	0	1.2	9
0.96	14	10.8	0	0	10.8
1.2	13	10.3	0	0	10.3
1.4	13	10.8	0	0	10.8
1.1	17	11.3	0	0	11.3
3	31	20.3	0	0	20.3
2.5	13	11.8	0	2.95	14.75
1.6	12	10.3	0	1.7	12
0.5	9	7.3	0	0	7.3
0.9	5	5.8	0	1.15	6.95
2.1	22	15.8	0	1	16.8
3.3	26	18.3	0	6	24.3
8.9	42	33.3	5.76	7.8	46.86
1.3	12	10.3	0	0	10.3
1.66	16	12.3	0	1	13.3
0.43	3	5.3	0	1.59	6.89
1.69	8	8.8	0	0	8.8
1.16	9	8.3	0	1.66	9.96
2.64	26	17.3	0	1	18.3
1.19	9	8.3	0	2.08	10.38
1.05	9	8.3	0	1.66	9.96
0.9	10	8.3	0	1.66	9.96
1.6	12	9.8	0	1.5	11.3
0.65	10	8.3	0	0.83	9.13
1.29	8	8.3	0	1.66	9.96
1.6	15	11.8	0	0	11.8
1.3	16	11.3	0	2.25	13.55
1	14	10.3	0	0	10.3
2.07	17	13.8	0	2.5	16.3
1.07	12	9.8	0	1.96	11.76
2	14	11.8	0	2.95	14.75
1.2	9	8.3	0	1.1	9.4
1.5	14	10.3	0	1.55	11.85
3.1	17	14.8	0	2	16.8
1.2	8	7.8	0	1.55	9.35
0.8	4	5.8	0	0.58	6.38
2.1	24	16.3	0	2	18.3
0.6	6	6.3	0	1.25	7.55
1.2	11	9.3	0	1.85	11.15
0.7	6	6.3	0	1.25	7.55
0.5	5	5.8	0	1.15	6.95
1.5	9	8.8	0	1.76	10.56
5	21	20.3	0	3	23.3
5.2	46	31.3	0	1.57	32.87
1.08	9	8.3	0	0	8.3
1.7	10	9.8	0	1.47	11.27
1.02	15	10.8	0	0	10.8
2.12	25	16.3	0	0	16.3
1.82	12	10.3	0	3.09	13.39
1	11	9.3	0	0	9.3
4.2	16	16.8	0	4.2	21
5.1	25	20.3	0	0	20.3
0.5	4	5.3	0	1.05	6.35
1	7	7.3	0	0	7.3
0.9	3	5.8	0	2	7.8
3.8	20	17.3	0	2	19.3
1	8	7.8	0	1.17	8.97
0.37	3	4.8	0	0	4.8
0.61	10	8.3	0	0	8.3
0.75	4	5.8	0	1.45	7.25
1.17	20	13.3	0	0	13.3
1.4	10	9.3	0	1.85	11.15
0.9	8	7.3	0	1.8	9.1
3.3	22	16.8	0	3.35	20.15
2.98	22	16.3	0	3.26	19.56
0.99	7	7.3	0	0.7	8
2	19	13.8	0	2.76	16.56
1.18	8	7.8	0	1.56	9.36
2.7	20	15.3	0	3.06	18.36
2.95	23	17.3	0	3.46	20.76
0.7	6	6.8	0	1.35	8.15
1	8	7.8	0	1.4	9.2
3.1	32	20.3	0	5.05	25.35
1.54	10	8.8	0	2.64	11.44
5.3	22	20.3	0	5.05	25.35
1.6	13	10.3	0	1.5	11.8
1.6	14	11.3	0	2.25	13.55
5.96	17	21.3	0	2.13	23.43
10.53	38	37.3	0	0	37.3
0.5	4	4.8	0	0	4.8
0.9	7	6.8	0	1.35	8.15
1.8	16	12.3	0	1.85	14.15
3.2	13	13.3	0	1.7	15
2.9	20	15.3	0	1	16.3
0.7	4	6.3	0	1.25	7.55
0.9	7	6.8	0	1.5	8.3
1.51	10	9.3	0	1.86	11.16
1.57	12	10.3	0	2.06	12.36
0.49	6	5.8	0	0.75	6.55
1.1	5	6.8	0	1.36	8.16
2.46	21	15.8	0	3.16	18.96
1.86	13	12.25	0	1.54	13.79
0.42	5	5.8	0	0.08	5.88
8.5	44	35.8	0	7.15	42.95
1.6	13	10.8	0	2.15	12.95
1	18	12.3	0	0	12.3
0.59	3	4.8	0	0.96	5.76
0.36	2	4.8	0	1.44	6.24
1.35	16	11.8	0	2.36	14.16
16.27	40	65.3	12.5	15.56	93.36
1.53	12	10.3	0	2.06	12.36
1.04	9	8.3	0	2.08	10.38
1.23	10	8.8	0	1	9.8
0.65	6	6.3	0	0	6.3
1.2	12	9.3	0	2.32	11.62
0.82	11	8.8	0	0	8.8
1.09	12	9.8	0	0	9.8
2.96	29	20.3	0	4.06	24.36
2.3	21	14.8	0	2.96	17.76
2.92	17	14.3	0	2.86	17.16
4.06	18	17.3	0	3.46	20.76
1.2	15	11.8	0	2.35	14.15
2.2	15	12.3	0	2.45	14.75
0.8	12	9.3	0	1.85	11.15
10.4	31	35.8	5.76	8.3	49.86
0.31	3	4.3	0	0	4.3
2.27	11	10.8	0	0	10.8
6.82	33	27.3	0	1	28.3
13.05	62	40.3	0	0	40.3
0.53	4	5.3	0	1.5	6.8
1.82	11	10.3	0	2.58	12.88
3.16	24	17.3	0	3.46	20.76
1.66	14	11.3	0	2.26	13.56
0.78	7	6.8	0	1.36	8.16
0.4	3	4.8	0	0.95	5.75
1.9	28	17.8	0	3.55	21.35
2.4	10	10.3	0	2.55	12.85
8.5	34	30.3	5.76	0	36.06
2.31	13	10.8	0	0	10.8
6.46	26	22.8	0	4.56	27.36
0.39	6	6.3	0	0	6.3
1.38	11	9.3	0	1.86	11.16
1.3	11	9.3	0	2.32	11.62
0.45	7	6.8	0	0	6.8
1.35	8	8.3	0	0	8.3
1.29	7	7.8	0	1.56	9.36
0.71	7	6.8	0	1.36	8.16
2.87	25	19.75	0	2.67	22.42
5	26	21.8	0	4.35	26.15
1.5	17	11.8	0	0	11.8
10.26	59	46.8	0	9.36	56.16
1.6	10	9.3	0	1.85	11.15
0.8	6	6.3	0	0	6.3
2.19	21	14.8	0	2	16.8
0.47	3	4.8	0	0	4.8
1.02	6	6.8	0	1.36	8.16
1.24	7	7.3	0	1.46	8.76
0.67	9	7.8	0	0	7.8
2.1	19	13.8	0	2.75	16.55
1.4	12	9.8	0	1	10.8
0.4	3	4.8	0	0.96	5.76
9.63	33	34.8	0	0	34.8
0.5	5	5.8	0	1.16	6.96
1.8	15	11.8	0	1.77	13.57
2.3	17	13.3	0	0	13.3
1.7	13	10.8	0	2	12.8
1.28	14	10.8	0	0	10.8
1.61	14	10.8	0	0	10.8
2.29	20	14.3	0	2.86	17.16
2.03	19	13.8	0	2.76	16.56
1.15	10	8.8	0	1	9.8
0.8	8	7.8	0	1.56	9.36
1.67	8	8.3	0	1.66	9.96
1.75	15	11.8	0	1.77	13.57
1.04	11	9.3	0	1	10.3
0.86	6	6.8	0	1.7	8.5
0.38	4	5.3	0	1.06	6.36
2.05	16	12.8	0	3.2	16
2.5	17	13.8	0	3.45	17.25
0.3	3	4.3	0	0	4.3
2.49	30	19.8	0	3.96	23.76
19.98	66	52.8	5.76	11.71	70.27
1.6	13	10.3	0	2	12.3
0.4	7	6.8	0	1.35	8.15
0.8	8	7.3	0	1.3	8.6
1	12	9.3	0	0	9.3
2.9	33	21.8	0	0	21.8
1.64	18	13.3	0	3.99	17.29
2.06	21	14.8	0	2.96	17.76
2.01	13	10.8	0	1	11.8
2.75	19	14.8	0	2.96	17.76
0.5	5	5.3	0	1.32	6.62
12.02	25	35.8	5.76	3	44.56
1.1	7	7.3	0	0	7.3
2.6	15	12.3	0	2.45	14.75
1.3	16	11.3	0	0	11.3
0.87	9	7.8	0	1.56	9.36
2.28	21	15.3	0	0	15.3
1.33	11	9.8	0	1.96	11.76
1.16	12	9.8	0	0	9.8
