DAY	HOUR 1	HOUR 2	HOUR 3	HOUR 4	HOUR 5	xbar	s	RANGE
1	5.543	5.698	5.605	5.653	5.668	5.633	0.060690	0.155
2	5.585	5.692	5.771	5.718	5.720	5.697	0.068947	0.186
3	5.752	5.636	5.660	5.680	5.565	5.659	0.067925	0.187
4	5.697	5.613	5.575	5.615	5.646	5.629	0.045499	0.122
5	5.630	5.770	5.713	5.649	5.650	5.682	0.058140	0.140
6	5.807	5.647	5.756	5.677	5.761	5.730	0.065695	0.160
7	5.686	5.691	5.715	5.748	5.688	5.706	0.026425	0.062
8	5.681	5.699	5.767	5.736	5.752	5.727	0.036076	0.086
9	5.552	5.659	5.770	5.594	5.607	5.636	0.083883	0.218
10	5.818	5.655	5.660	5.662	5.700	5.699	0.068898	0.163
11	5.693	5.692	5.625	5.750	5.757	5.703	0.053454	0.132
12	5.637	5.628	5.646	5.667	5.603	5.636	0.023531	0.064
13	5.634	5.778	5.638	5.689	5.702	5.688	0.058551	0.144
14	5.664	5.655	5.727	5.637	5.667	5.670	0.033941	0.090
15	5.664	5.695	5.677	5.689	5.757	5.696	0.035900	0.093
16	5.707	5.890	5.598	5.724	5.635	5.711	0.112662	0.292
17	5.697	5.593	5.780	5.745	5.470	5.657	0.126034	0.310
18	6.002	5.898	5.669	5.957	5.583	5.822	0.185021	0.419
19	6.017	5.613	5.596	5.534	5.795	5.711	0.196755	0.483
20	5.671	6.223	5.621	5.783	5.787	5.817	0.238025	0.602
