SMOKER	ETS	NO ETS
362	1.7	0.046
210	0.029	0.124
400	0.042	0.03
520	28.7	0.011
360	0.52	0.011
166	0.011	0.055
296	2.2	0.011
262	2.12	0.028
236	0.011	4.09
200	0.085	0.021
190	713	0.011
401	0.011	0.011
212	0.294	0.011
284	0.379	0.039
242	0.011	0.046
385	0.011	0.011
103	10.2	0.018
248	100	0.011
381	0.018	0.104
385	0.244	0.011
277	0.011	0.011
226	0.011	0.019
302	0.011	0.015
308	4.12	0.011
260	0.024	0.011
175	0.978	0.085
204	1.8	0.057
107	1.99	4.96
385	527	0.011
115	1.01	0.011
422	5.11	0.011
335	0.547	0.016
258	15.5	0.011
314	307	0.218
231	68.4	0.011
47.4	30.3	0.017
196	0.038	0.058
195	0.011	0.011
403	0.094	448
243	0.048	0.018
201	0.492	0.02
680	1.87	0.041
389	0.635	0.011
67.2	549	0.098
173	0.041	0.016
314	0.011	0.011
68.3	0.062	0.011
296	15.2	0.011
187	0.016	2.96
0.019	0.158	0.056
87.4	2.41	0.011
206	0.112	0.011
346	1.14	0.011
235	44.1	0.015
208	0.14	0.011
115	3.3	0.011
222	0.016	0.011
205	10.8	0.119
25.4	39.5	0.011
190	0.342	0.058
167	1.11	0.03
259	517	0.024
251	0.027	0.043
179	0.074	0.011
220	17.1	0.024
152	0.103	0.044
299	0.015	0.529
599	25.7	0.011
60.6	1.9	0.522
224	0.245	0.011
221	5.57	0.011
368	56.2	0.011
465	0.016	0.011
228	0.134	0.011
283	0.734	0.68
443	767	0.011
254	0.049	0.088
111	0.289	0.04
98.1	1.06	0.011
566	0.313	0.011
185	0.019	0.028
270	0.095	0.011
230	0.036	0.011
353	2.1	0.011
272	0.052	0.015
501	0.011	4.06
193	0.011	0.011
155	0.043	0.045
181	1.64	0.011
153	1.6	0.016
347	0.011	0.011
259	0.025	40.1
344	11.9	0.28
155	0.029	0.011
334	0.011	0.011
356	585	0.018
421	0.011	0.412
587	2.41	0.011
177	0.011	0.023
208	0.082	0.049
219	0.011	0.109
399	0.011	0.017
0.8	4.03	0.011
309	1.96	0.015
343	1.25	0.035
76.5	0.028	6.6
264	49.4	0.011
581	10.9	0.015
286	0.127	0.011
95.5	0.243	0.011
641	0.257	0.035
301	0.011	0.011
538	2.51	0.011
205	0.011	0.011
403	0.011	0.011
101	0.011	0.011
196	0.073	0.027
385	4.79	0.011
566	0.021	0.011
360	163	0.011
270	0.264	0.011
176	0.096	0.011
132	0.404	0.32
87.4	0.44	0.011
240	0.011	0.011
385	0.135	0.04
274	195	0.307
414	0.041	0.025
178	0.015	0.011
153	0.011	0.024
85.6	3.77	0.026
429	0.217	0.026
36.4	1.67	0.021
180	83.8	0.136
189	1.84	0.011
218	0.13	0.011
362	0.011	0.016
367	141	0.076
316	0.038	0.011
289	0.805	0.035
352	0.246	0.017
120	0.016	0.011
343	2.71	0.022
235	0.017	0.029
260	1.52	0.011
188	0.219	0.046
41	176	0.027
292	0.23	0.017
292	0.017	0.118
190	0.028	0.011
395	5.75	0.011
22.8	0.192	0.011
147	3.97	0.016
60.9	73.2	0.011
478	776	0.011
533	95.1	0.011
629	0.138	0.018
275	0.87	0.06
497	3.22	0.825
252	0.748	0.039
226	0.04	0.044
248	0.025	0.011
61.9	0.533	0.106
178	0.555	0.021
243	3.07	0.078
89.9	0.048	0.011
198	0.011	0.126
335	0.075	0.041
338	0.434	0.011
231	0.097	0.046
110	0.035	0.125
394	1.17	0.023
192	2.12	0.011
195	0.017	0.011
337	0.019	0.011
385	0.069	0.017
69.3	0.344	0.011
481	0.011	0.011
314	0.803	0.096
217	0.141	0.217
146	6.71	0.011
168	679	0.011
147	0.053	0.019
364	0.043	0.011
226	0.011	0.011
145	0.018	0.015
513	80.3	0.011
251	0.092	0.201
168	5.23	0.026
171	0.017	0.015
253	0.861	0.067
368	0.296	0.088
367	6.68	0.011
52	380	0.817
664	6.26	0.036
236	0.031	11.5
296	3.14	0.011
202	0.011	0.049
268	4.14	0.229
373	0.047	0.011
214	256	0.011
102	6.59	0.011
132	0.029	0.431
387	271	0.011
170	0.465	0.011
383	0.276	0.011
181	1.41	0.011
375	0.023	0.016
149	0.037	3.59
219	240	0.011
381	4.86	0.011
160	0.011	0.015
282	1.37	0.052
251	0.011	0.011
197	171	0.072
23	1.08	0.011
276	0.78	0.011
318	0.035	1.17
229	0.035	0.232
297	0.064	0.011
190	0.011	0.941
304	0.095	0.039
126	0.366	0.144
383	0.011	0.331
322	7.66	0.016
367	0.015	0.025
232	0.011	0.011
191	0.043	0.034
380	0.756	0.017
409	0.393	0.023
442	0.011	0.156
269	0.739	0.023
36.5	0.11	0.011
237	0.06	0.082
169	0.02	0.016
289	0.078	0.042
357	0.028	0.261
383	0.045	0.036
135	0.082	0.025
290	0.439	0.011
404	0.03	0.011
327	0.127	0.011
106	0.122	0.028
85.7	182	0.011
159	0.042	0.534
182	0.046	0.011
109	0.011	0.064
443	0.909	0.032
228	0.011	0.011
271	0.018	0.011
301	307	0.106
255	0.024	0.053
126	0.034	0.027
261	0.029	0.011
444	0.011	0.028
413	0.424	0.011
336	0.023	0.093
304	9.05	0.018
177	56.8	0.011
369	0.043	0.026
195	0.027	0.03
443	0.02	0.011
66.6	0.016	0.011
368	0.024	0.011
303	4.46	0.011
170	0.982	0.011
339	0.011	0.155
474	0.029	0.037
511	0.011	0.419
147	0.011	0.011
201	0.084	0.17
199	0.05	0.016
71.4	0.011	0.031
233	0.587	0.011
362	0.022	0.019
439	0.138	0.059
150	0.258	0.011
293	0.741	0.011
423	12.6	0.038
275	0.048	0.011
285	0.025	0.022
213	0.011	0.011
83.8	42.5	0.011
117	0.1	0.011
126	0.023	0.033
426	0.121	0.011
128	173	0.042
297	0.033	0.03
66.8	0.039	0.02
289	17.6	0.011
296	1.64	0.023
70.1	0.071	0.011
406	458	10.2
301	397	0.011
480	0.056	0.011
185	1.62	16.2
207	0.011	0.011
499	229	0.115
359	0.664	0.047
201	0.256	0.011
353	2.55	0.011
391	12.3	0.034
392	0.011	215
225	0.011	0.218
74.4	0.735	0.023
43.7	1.72	0.02
327	0.282	0.011
416	9.26	0.011
356	0.171	0.011
318	0.011	0.011
113	0.027	0.019
336	0.011	0.011
290	0.057	0.011
215	0.025	0.011
666	1.25	0.011
129	0.08	0.263
392	0.523	0.011
291	3.48	0.011
372	0.092	0.042
53	1.38	0.011
342	0.044	0.011
258	0.011	0.011
238	0.015	0.011
39.9	0.011	0.011
394	0.019	0.039
212	0.029	0.245
367	0.166	0.011
92.3	0.016	0.021
196	0.045	0.011
187	0.074	0.041
600	0.019	0.011
186	0.011	0.184
509	0.021	0.018
323	0.041	0.011
336	0.246	0.011
207	0.038	0.018
101	2.85	0.029
88.6	0.037	0.011
130	1.06	0.011
48.8	0.021	0.011
391	0.019	0.039
153	0.141	230
368	0.4	0.011
185	0.011	0.046
543	0.15	0.062
160	0.267	0.02
344	99.7	0.024
329	0.763	0.011
253	166	0.079
153	0.04	0.011
317	45.3	0.022
167	3.09	0.011
182	1.75	0.011
104	0.011	0.016
147	114	0.011
57	0.416	0.08
246	1.13	0.011
652	0.058	0.011
250	53.8	
152	0.011	
21.4	0.122	
217	0.028	
254	0.663	
296	3.83	
372	0.046	
264	0.011	
361	0.122	
197	35.3	
149	0.032	
283	0.023	
279	0.13	
365	0.183	
205	3.34	
284	0.019	
67.6	231	
368	0.101	
465	0.011	
359	427	
282	22.5	
205	2.96	
293	0.019	
245	0.016	
696	0.011	
93.7	0.033	
376	0.011	
282	1.9	
264	0.632	
217	0.017	
192	0.121	
260	3.63	
161	0.017	
238	0.011	
342	0.073	
86	0.011	
514	0.081	
389	0.016	
51	0.053	
369	0.235	
4.84	0.018	
481	1.04	
255	0.011	
458	0.095	
408	0.011	
390	0.017	
332	0.038	
73.9	0.255	
623	0.04	
305	2.79	
278	592	
245	0.099	
219	0.063	
262	0.011	
279	0.193	
155	2.42	
251	0.1	
364	0.218	
480	0.031	
361	0.011	
92	0.011	
174	84.7	
179	0.011	
598	0.069	
101	74.5	
321	0.011	
339	0.689	
171	0.038	
253	0.028	
298	0.034	
142	0.093	
226	0.13	
103	0.011	
135	0.029	
0.042	2.71	
147		
299		
393		
120		
50		
65.1		
562		
345		
265		
91.9		
275		
154		
460		
189		
375		
24.5		
210		
412		
315		
392		
331		
186		
77.1		
366		
143		
191		
118		
395		
459		
84.5		
529		
2.54		
268		
280		
401		
319		
143		
385		
557		
328		
181		
338		
476		
154		
332		
790		
254		
314		
244		
59.6		
171		
249		
334		
134		
300		
382		
93.5		
120		
290		
271		
210		
81.6		
377		
137		
137		
170		
72.6		
198		
145		
397		
233		
326		
218		
261		
320		
519		
229		
178		
122		
87.6		
113		
461		
339		
407		
60		
102		
155		
327		
123		
207		
201		
525		
282		
264		
38.7		
251		
151		
192		
389		
369		
385		
128		
238		
297		
157		
261		
305		
253		
271		
383		
0.788		
326		
312		
200		
207		
172		
256		
727		
305		
121		
140		
244		
85.8		
503		
527		
335		
283		
312		
43.2		
137		
151		
342		
193		
505		
280		
93.4		
238		
606		
263		
80.3		
312		
487		
1030		
234		
658		
144		
61.9		
301		
446		
363		
331		
460		
433		
311		
253		
153		
341		
292		
198		
150		
388		
393		
69.4		
202		
137		
401		
213		
326		
384		
137		
408		
321		
197		
90		
258		
123		
519		
237		
162		
557		
333		
167		
215		
264		
372		
292		
491		
164		
403		
389		
134		
379		
303		
210		
195		
117		
238		
520		
369		
229		
218		
353		
367		
246		
70.4		
682		
241		
226		
508		
23.2		
8.36		
57.7		
414		
555		
101		
340		
208		
325		
306		
355		
397		
185		
348		
125		
254		
202		
113		
305		
209		
378		
203		
479		
334		
372		
314		
236		
387		
116		
112		
287		
277		
412		
259		
184		
544		
430		
66.2		
232		
141		
229		
90.2		
318		
345		
241		
286		
202		
83.4		
300		
454		
565		
375		
662		
370		
330		
245		
284		
270		
204		
34.4		
172		
453		
468		
263		
222		
458		
61.2		
99.2		
346		
243		
284		
246		
205		
264		
28		
160		
509		
146		
365		
81.9		
179		
197		
290		
360		
301		
520		
264		
446		
100		
303		
212		
244		
399		
500		
287		
13.8		
125		
154		
117		
267		
235		
359		
305		
86.7		
368		
249		
269		
141		
18.4		
