YEAR	DEATHS	BOATS	FLORIDA POP
1991	53	68	13.3
1992	38	68	13.5
1993	35	67	13.7
1994	49	70	14.0
1995	42	71	14.3
1996	60	73	14.6
1997	54	76	14.9
1998	67	81	15.2
1999	82	83	15.6
2000	78	84	16.0
2001	81	90	16.3
2002	95	92	16.6
2003	73	94	17.0
2004	69	95	17.4
2005	79	97	17.8
2006	92	99	18.2
2007	73	99	18.4
2008	90	97	18.6
2009	97	95	18.7
2010	83	90	18.8
2011	88	90	18.9
2012	81	87	19.1
2013	73	90	19.3
2014	68	90	19.5
2015	87	91	20.2
2016	106	93	20.6
2017	106	94	21.0
2018	119	95	21.3
