YEAR	MONTH	F SCALE	FATALITIES	LENGTH (MI)	WIDTH (YD)
1950	1	3	0	9.5	150
1950	1	3	0	3.6	130
1950	1	1	0	0.1	10
1950	1	3	1	0.6	17
1950	1	2	0	2.3	300
1950	1	2	0	0.1	100
1950	1	2	0	4.7	133
1950	2	2	0	9.9	400
1950	2	3	1	12	1000
1950	2	2	0	4.6	100
1950	2	2	0	4.5	67
1950	2	2	1	8	833
1950	2	1	0	2.3	233
1950	2	2	0	3.4	100
1950	2	1	0	7.7	100
1950	2	2	3	0.1	10
1950	2	1	0	2	10
1950	2	3	3	1.9	50
1950	2	2	0	0.1	100
1950	2	4	18	82.6	100
1950	2	2	5	58.4	100
1950	2	3	5	74.5	100
1950	2	2	0	5.7	100
1950	2	1	0	0.5	33
1950	2	1	0	0.2	10
1950	2	2	9	0.2	10
1950	2	2	0	2	50
1950	3	1	0	0.1	10
1950	3	2	0	1.5	150
1950	3	1	0	2	33
1950	3	2	0	1	50
1950	3	0	0	18.1	27
1950	3	2	0	17.4	150
1950	3	3	0	5.7	200
1950	3	2	0	10.4	600
1950	3	3	0	14.9	1760
1950	3	2	0	5.4	833
1950	3	2	0	0.1	77
1950	3	2	1	0.1	10
1950	3	1	0	15.3	17
1950	3	2	0	11.9	10
1950	3	2	0	59.3	50
1950	3	2	0	31.9	50
1950	3	1	0	0.5	27
1950	3	2	0	4.7	10
1950	3	1	0	0.1	10
1950	3	1	0	0.2	10
1950	3	2	0	3	50
1950	4	3	1	2.5	10
1950	4	2	0	1	100
1950	4	1	0	0.8	100
1950	4	1	0	1	33
1950	4	3	0	14	100
1950	4	2	0	2	150
1950	4	1	0	2	100
1950	4	1	0	0.7	37
1950	4	3	1	20.8	400
1950	4	1	0	19.8	10
1950	4	4	5	1.3	233
1950	4	4	5	4.5	200
1950	4	2	0	0.8	100
1950	4	2	0	11.3	100
1950	4	1	0	11.5	200
1950	5	1	0	2	100
1950	5	1	0	0.1	10
1950	5	1	0	0.1	10
1950	5	1	0	15.4	150
1950	5	2	0	3.6	100
1950	5	1	0	1	100
1950	5	0	0	1	100
1950	5	1	0	32.8	150
1950	5	2	1	2	100
1950	5	1	0	0.1	10
1950	5	2	1	1.9	50
1950	5	1	0	0.1	10
1950	5	2	0	5.6	293
1950	5	1	0	0.1	10
1950	5	2	0	1	100
1950	5	4	0	34.3	150
1950	5	3	0	17.3	440
1950	5	1	0	0.1	10
1950	5	2	0	4.3	10
1950	5	1	0	0.1	10
1950	5	1	0	1	10
1950	5	1	0	0.3	30
1950	5	2	0	12.6	660
1950	5	2	0	6.8	10
1950	5	2	0	0.1	200
1950	5	2	0	19.6	440
1950	5	1	0	0.1	10
1950	5	1	0	0.1	10
1950	5	2	0	8.8	467
1950	5	1	0	0.1	10
1950	5	1	0	0.8	200
1950	5	2	0	2	33
1950	5	1	0	0.5	77
