ARRIVAL TIME	INTERARRIVAL TIME	DATA (BYTES)
419	2	0
421	2	5
427	6	512
427	0	512
428	1	512
428	0	0
429	1	512
430	1	512
432	2	5
434	2	64
449	15	32
449	0	0
451	2	512
455	4	512
456	1	207
462	6	5
469	7	0
470	1	256
474	4	0
485	11	512
486	1	512
486	0	121
489	3	0
491	2	256
492	1	256
495	3	0
503	8	0
505	2	512
507	2	457
508	1	0
510	2	512
512	2	512
516	4	0
524	8	227
530	6	0
542	12	0
543	1	0
543	0	3
543	0	0
545	2	512
566	21	0
570	4	0
590	20	0
591	1	0
594	3	0
595	1	3
597	2	60
598	1	0
599	1	0
600	1	0
601	1	512
603	2	0
619	16	0
625	6	512
626	1	512
627	1	512
627	0	512
628	1	0
628	0	52
630	2	512
635	5	536
636	1	50
638	2	536
638	0	0
639	1	50
640	1	0
653	13	0
655	2	212
656	1	0
656	0	0
658	2	212
658	0	212
668	10	0
671	3	512
672	1	512
674	2	0
692	18	0
694	2	212
704	10	0
704	0	40
708	4	146
711	3	512
712	1	512
712	0	1
712	0	0
713	1	512
714	1	0
717	3	0
719	2	512
728	9	52
731	3	0
739	8	0
741	2	256
744	3	5
747	3	8
748	1	41
758	10	0
768	10	512
768	0	0
770	2	69
771	1	0
771	0	0
773	2	69
774	1	0
776	2	512
777	1	71
780	3	69
782	2	69
785	3	71
786	1	0
788	2	512
788	0	0
788	0	512
793	5	0
793	0	0
793	0	0
793	0	0
796	3	0
797	1	0
799	2	15
801	2	0
802	1	35
804	2	512
804	0	0
805	1	0
808	3	6
833	25	0
834	1	15
834	0	212
835	1	35
836	1	0
839	3	512
840	1	512
840	0	2
852	12	15
855	3	32
855	0	0
856	1	512
857	1	512
858	1	512
858	0	45
868	10	0
870	2	256
880	10	5
882	2	0
883	1	512
884	1	512
884	0	512
884	0	17
901	17	0
906	5	0
907	1	0
908	1	512
929	21	0
930	1	0
931	1	512
932	1	0
933	1	512
935	2	0
935	0	0
949	14	5
953	4	15
960	7	0
961	1	19
962	1	0
963	1	0
963	0	0
966	3	0
966	0	0
971	5	0
972	1	0
978	6	0
980	2	512
990	10	0
992	2	256
996	4	56
1000	4	0
1002	2	56
1003	1	2
1003	0	0
1004	1	256
1007	3	56
1012	5	56
1019	7	0
1020	1	512
1025	5	512
1033	8	0
1037	4	512
1038	1	0
1040	2	512
1041	1	39
1044	3	512
1046	2	512
1046	0	512
1047	1	512
1047	0	0
1051	4	15
1070	19	0
1084	14	0
1088	4	0
1089	1	256
1090	1	256
1090	0	256
1092	2	45
1093	1	5
1095	2	0
1096	1	3
1114	18	0
1116	2	512
1116	0	0
1118	2	212
1123	5	0
1125	2	512
1129	4	50
1129	0	0
1131	2	212
1131	0	0
1131	0	212
1145	14	0
1149	4	0
1151	2	256
1151	0	113
1154	3	111
1157	3	111
1167	10	0
1169	2	512
1169	0	512
1170	1	512
1170	0	0
1171	1	512
1171	0	137
1171	0	0
1174	3	512
1175	1	512
1176	1	512
1177	1	0
1181	4	29
1189	8	512
1193	4	0
1196	3	512
1203	7	0
1208	5	0
1212	4	1
1216	4	212
1218	2	0
1223	5	0
1224	1	512
1232	8	0
1234	2	256
1237	3	536
1240	3	0
1241	1	536
1242	1	536
1242	0	0
1245	3	512
1245	0	0
1247	2	536
1250	3	536
1255	5	0
1256	1	0
1257	1	512
1265	8	0
1269	4	0
1272	3	512
1275	3	0
1296	21	0
1300	4	0
1305	5	0
1311	6	0
1313	2	1
1331	18	37
1331	0	0
1332	1	0
1335	3	512
1335	0	0
1335	0	212
1344	9	536
1344	0	10
1346	2	0
1346	0	0
1346	0	0
1348	2	256
1348	0	0
1350	2	512
1352	2	0
1367	15	0
1382	15	0
1390	8	512
1396	6	1
1397	1	0
1398	1	0
1403	5	0
1409	6	2
1419	10	0
1434	15	100
1436	2	0
1437	1	229
1441	4	0
1442	1	0
1445	3	256
1445	0	5
1446	1	0
1449	3	512
1453	4	512
1455	2	512
1455	0	34
1456	1	512
1462	6	512
1464	2	512
1466	2	512
1473	7	0
1475	2	256
1483	8	0
1485	2	0
1486	1	212
1488	2	512
1488	0	512
1499	11	0
1501	2	0
1503	2	512
1505	2	42
1525	20	536
1527	2	15
1527	0	0
1530	3	0
1531	1	39
1543	12	15
1567	24	0
1569	2	0
1570	1	256
1574	4	0
1576	2	512
1576	0	0
1578	2	512
1585	7	0
1586	1	0
1587	1	512
1589	2	512
1590	1	303
1602	12	0
1604	2	212
1605	1	512
1606	1	303
1607	1	0
1608	1	256
1619	11	0
1622	3	512
1625	3	44
1634	9	512
1638	4	512
1659	21	0
1660	1	0
1661	1	512
1662	1	512
1664	2	512
1670	6	49
1671	1	0
1674	3	6
1675	1	0
1688	13	15
1689	1	15
1698	9	0
1712	14	60
1718	6	0
1725	7	0
1727	2	140
1727	0	36
1730	3	0
1743	13	0
1745	2	256
1747	2	5
1749	2	0
1751	2	256
1761	10	0
1766	5	0
1775	9	0
1777	2	0
1780	3	212
1803	23	15
1804	1	5
1804	0	15
1805	1	0
1810	5	0
1812	2	212
1813	1	31
1813	0	0
1815	2	512
1826	11	43
1833	7	0
1835	2	512
1835	0	512
1862	27	0
1863	1	212
1867	4	0
1873	6	0
1882	9	0
1884	2	256
1886	2	50
1886	0	0
1886	0	0
1887	1	3
1888	1	512
1893	5	512
1895	2	512
1897	2	512
1897	0	512
1899	2	0
1901	2	0
1903	2	15
1903	0	50
1904	1	5
1904	0	0
1904	0	5
1906	2	512
1908	2	5
1908	0	0
1908	0	5
1909	1	0
1910	1	0
1922	12	43
1927	5	30
1929	2	0
1933	4	0
1935	2	212
1936	1	38
1938	2	5
1952	14	0
1953	1	256
1966	13	0
1970	4	0
1971	1	0
1973	2	512
1974	1	512
1976	2	43
1983	7	97
1988	5	0
1989	1	212
1993	4	0
1996	3	0
1997	1	0
2001	4	326
2003	2	92
2004	1	0
2004	0	326
2004	0	5
2019	15	512
2023	4	5
2026	3	37
2026	0	0
2029	3	512
2058	29	0
2061	3	0
2063	2	512
2064	1	512
2069	5	5
2071	2	15
2073	2	15
2073	0	5
2075	2	15
2075	0	15
2075	0	5
2075	0	5
2076	1	5
2079	3	42
2081	2	512
2082	1	3
2083	1	0
2083	0	5
2085	2	512
2085	0	0
2085	0	0
2086	1	256
2086	0	19
2088	2	0
2088	0	256
2089	1	0
2090	1	0
2090	0	512
2097	7	0
2099	2	0
2101	2	512
2101	0	40
2102	1	512
2102	0	512
2102	0	0
2102	0	0
2105	3	15
2105	0	512
2106	1	426
2111	5	512
2112	1	512
2114	2	0
2114	0	44
2116	2	512
2117	1	37
2117	0	0
2119	2	512
2120	1	212
2125	5	0
2130	5	0
2131	1	0
2134	3	0
2142	8	0
2152	10	512
2155	3	512
2155	0	0
2157	2	512
2158	1	512
2161	3	512
2164	3	512
2165	1	56
2166	1	392
2166	0	0
2170	4	1
2172	2	0
2172	0	0
2174	2	512
2176	2	0
2190	14	0
2192	2	0
2192	0	256
2194	2	512
2194	0	0
2196	2	389
2197	1	512
2198	1	0
2202	4	512
2207	5	0
2209	2	512
2210	1	512
2219	9	1
2219	0	0
2223	4	512
2223	0	0
2224	1	1
2226	2	256
2228	2	512
2237	9	512
2238	1	0
2241	3	512
2246	5	0
2248	2	512
2248	0	512
2252	4	0
2254	2	212
2265	11	512
2265	0	512
2266	1	512
2268	2	0
2269	1	0
2272	3	512
2289	17	0
2326	37	15
2342	16	43
2344	2	15
2346	2	37
2349	3	0
2351	2	0
2352	1	256
2365	13	0
2366	1	0
2366	0	0
2366	0	0
2368	2	41
2369	1	0
2370	1	0
2372	2	441
2382	10	0
2383	1	0
2388	5	512
2389	1	512
2390	1	512
2391	1	512
2391	0	431
2395	4	0
2396	1	256
2397	1	0
2409	12	15
2411	2	37
2413	2	0
2415	2	212
2416	1	0
