SPACE MT 10AM	SPACE MT 5PM	SMALL WORLD 10AM	SMALL WORLD 5PM	ROCK N ROLLER 10AM	ROCK N ROLLER 5PM	TOWER TERROR 10AM	TOWER TERROR 5PM	FLIGHT PASSAGE 10AM	FLIGHT PASSAGE 5PM	NAVI RIVER 10AM	NAVI RIVER 5PM
50	70	10	30	55	65	35	45	180	95	70	70
25	110	5	35	50	70	35	50	195	125	50	70
75	45	5	25	75	75	20	30	110	90	60	45
35	45	10	25	50	85	50	35	150	85	60	75
50	110	10	45	60	45	95	55	180	115	60	75
25	65	10	30	40	60	75	40	150	100	70	65
30	70	10	25	65	60	45	25	150	125	50	80
50	75	15	20	65	60	50	35	180	95	75	80
45	65	10	25	50	45	30	35	150	75	80	70
25	20	10	10	70	90	35	35	150	105	65	60
20	40	10	15	65	55	30	25	165	75	70	80
50	40	10	15	60	25	30	30	150	85	45	40
25	65	10	20	45	55	25	35	120	95	55	50
25	105	10	20	60	45	35	15	165	90	75	55
15	55	5	5	40	60	25	35	135	75	50	45
55	45	10	20	55	75	20	25	150	80	60	85
30	60	10	20	25	20	25	15	75	85	45	50
30	45	10	10	35	45	15	15	90	50	70	55
40	30	5	15	30	45	30	45	85	40	45	40
20	40	5	10	20	35	15	10	105	55	50	40
30	15	5	5	35	35	20	15	75	50	40	45
15	40	10	20	45	55	15	15	135	75	60	35
20	35	10	5	45	40	40	45	120	80	70	35
35	40	5	20	65	40	10	35	150	80	45	70
15	40	10	10	15	60	20	25	105	80	65	70
10	25	5	10	75	60	25	30	135	85	70	70
25	80	10	20	95	45	35	35	105	105	60	50
35	50	15	15	35	30	45	10	105	55	75	105
20	30	5	5	50	50	20	20	150	90	60	75
30	35	5	5	60	30	25	25	90	60	50	65
30	40	10	10	35	25	15	10	70	55	80	80
15	35	5	5	20	35	15	15	120	105	60	70
15	40	5	15	55	30	65	15	90	80	40	80
30	30	5	10	45	45	20	40	120	105	70	50
30	35	15	10	50	85	60	65	135	45	135	105
60	50	10	15	110	75	95	125	210	120	85	90
35	30	10	15	55	70	45	35	135	110	75	95
75	90	30	60	60	60	75	55	150	105	75	45
35	64	10	15	90	75	105	45	225	135	80	120
40	55	5	5	65	50	20	25	150	65	70	40
50	70	10	40	95	115	50	35	165	140	80	60
35	60	10	30	60	75	60	35	150	90	70	80
35	55	10	25	55	35	40	30	135	80	55	75
35	40	5	25	95	70	55	35	150	80	75	80
40	35	10	25	90	70	60	65	180	155	70	105
55	55	15	50	30	25	30	15	120	120	80	50
75	105	10	65	40	65	35	45	150	120	45	110
105	110	20	75	140	105	75	90	180	175	130	120
110	105	15	65	180	105	80	85	225	170	120	95
40	70	15	30	50	55	60	70	165	105	80	105
