MODEL	SIZE	WEIGHT	LENGTH	BRAKING	CYLINDERS	DISPLACEMENT	CITY	HWY	GHG	HIC	CHEST	LEFT FEMUR	RIGHT FEMUR	MAXIMUM NIJ
Toyota Corolla	Small	2844	183	138	4	1.8	29	36	4.6	253	29	1.6	2.8	0.27
Subaru Impreza	Small	3109	176	124	4	2.0	28	38	4.7	143	31	1.4	1	0.28
Mazda 3	Small	2870	180	133	4	2.0	30	41	4.4	124	35	0.5	0.3	0.24
Volkswagen Golf	Small	3095	168	130	4	2.0	25	33	5.3	301	33	0.2	0.3	0.33
Honda Civic	Small	2915	182	129	4	1.5	31	42	4.2	422	26	0.4	0.2	0.2
Kia Soul	Small	2985	163	127	4	2.0	23	31	5.7	324	32	0.4	0.6	0.38
Honda Fit	Small	2563	160	132	4	1.5	33	40	4.1	258	21	0.4	0.2	0.44
Ford Focus	Small	3009	172	128	4	2.0	27	37	4.7	271	26	0.3	0.1	0.2
Chevrolet Sonic	Small	2798	173	128	4	1.8	25	35	5.2	467	25	0.4	0.7	0.23
Nissan Versa	Small	2468	175	140	4	1.6	31	40	4.3	298	34	3.1	2.1	0.18
Ford Fiesta	Small	2598	174	142	4	1.6	29	38	4.5	315	26	1.7	0.7	0.24
Hyundai Accent	Small	2558	160	131	4	1.6	28	37	4.6	304	34	0.3	0.3	0.37
Subaru Legacy	Midsize	3452	189	128	4	2.5	26	36	5	117	32	0.4	0.6	0.27
Kia Optima	Midsize	3514	191	130	4	2.0	22	32	6	121	28	0.7	0.8	0.24
Toyota Camry	Midsize	3344	192	126	4	2.5	28	39	4.6	204	26	1.1	1.3	0.27
Honda Accord	Midsize	3146	192	135	4	1.5	30	38	4.4	195	23	0.7	0.5	0.24
Hyundai Sonata	Midsize	3545	192	139	4	2.0	23	32	5.7	186	25	0.5	1.1	0.28
Mazda 6	Midsize	3217	192	132	4	2.5	26	38	4.9	178	26	0.6	0.4	0.19
Ford Fusion	Midsize	3455	192	125	4	1.5	23	34	5.4	157	19	0.8	0.9	0.21
Chevrolet Malibu	Midsize	3241	194	130	4	2.0	22	33	5.7	203	29	0.5	0.6	0.21
BMW 3 Series	Midsize	3417	183	132	4	2.0	24	36	5.4	132	26	1.4	1.7	0.2
Lexus ES 350	Midsize	3549	193	139	6	3.5	21	31	6	212	20	1.5	3	0.3
Acura TLX	Midsize	3644	190	129	6	3.5	21	34	5.9	229	22	0.8	0.8	0.2
Nissan Maxima	Midsize	3497	193	132	6	3.5	22	30	6	235	22	2.1	0.7	0.31
Toyota Avalon	Large	3608	196	135	6	3.5	22	32	5.6	249	27	0.6	1.5	0.31
Dodge Charger	Large	3962	200	134	6	3.6	18	27	7	90	32	1.8	1.7	0.25
Ford Taurus	Large	4253	203	139	6	3.5	17	25	7.3	178	39	0.3	0.2	0.33
Volvo S90	Large	4006	195	130	4	2.0	22	31	5.8	114	27	1.3	0.6	0.22
Kia Cadenza	Large	3754	196	127	6	3.3	20	28	6.3	183	31	1.1	0.9	0.25
BMW 5 Series	Large	3859	195	130	6	3.0	20	30	6.2	87	26	0.8	0.7	0.26
Mercedes-Benz E-Class	Large	3874	194	128	4	2.0	22	30	6	180	34	0.7	0.9	0.26
Genesis G90	Large	4674	205	130	8	5.0	16	24	8	103	30	0.4	0.7	0.28
Lexus LS	Large	4321	198	140	8	4.6	19	27	7.3	154	34	1.4	2.3	0.29
Lincoln Continental	Large	4346	201	127	6	3.7	17	26	7.3	129	26	0.5	0.6	0.18
Audi A6	Large	3891	194	132	4	2.0	25	33	5.2	266	24	1.2	1.4	0.31
Acura RLX	Large	3957	196	128	6	3.5	20	31	6.3	338	31	0.7	1.5	0.3
Acura MDX	SUV	4257	194	136	6	3.5	18	27	6.9	121	24	0.4	0.7	0.22
BMW X5	SUV	4949	192	137	6	3.0	18	27	6.9	112	31	0.4	0.7	0.11
Ford Explorer	SUV	4765	197	135	6	3.5	17	23	7.7	261	31	0.6	3	0.25
Honda Pilot	SUV	4383	194	136	6	3.5	19	26	6.7	145	25	0.2	0.2	0.24
Hyundai Santa Fe	SUV	3983	188	136	4	2.0	19	24	7	198	30	0.2	0.2	0.19
Jeep Grand Cherokee	SUV	4687	190	138	6	3.6	16	22	8.2	193	39	1.9	0.5	0.4
Kia Sorento	SUV	4082	187	131	6	3.3	18	26	7.2	193	22	0	0.2	0.22
Mazda CX-9	SUV	4242	200	139	5	2.5	20	26	6.4	111	33	0.3	0.7	0.22
Nissan Murano	SUV	3923	192	131	6	3.5	21	28	6.3	276	34	0.9	0.8	0.19
Subaru Ascent	SUV	4397	197	129	4	2.4	21	27	6.4	156	35	0.6	0.5	0.22
Toyota Highlander	SUV	4398	191	134	6	3.5	18	24	7.2	213	29	1.6	1.8	0.31
GMC Acadia	SUV	4230	194	130	6	3.6	18	25	7	143	26	0.5	1.6	0.19
