RED	ORANGE	YELLOW	BROWN	BLUE	GREEN	HERSHEYS KISSES	REESES PB CUPS
0.889	0.976	0.853	0.874	0.843	0.892	4.488	9.029
0.937	0.878	0.822	0.842	0.845	0.861	4.781	8.689
0.877	0.886	0.875	0.907	0.829	0.968	4.697	8.909
0.839	0.867	0.855	0.904	0.88	0.968	4.54	8.969
0.81	0.858	0.934	0.877	0.871	0.905	4.458	9.012
0.899	0.859	0.925	0.851	0.944	0.839	4.524	8.915
0.849	0.865	0.886	0.892	0.799	0.997	4.395	8.971
0.879	0.855	0.893	0.89	0.996	0.917	4.513	8.894
0.923	0.965	0.837	0.854	0.902	0.846	4.512	9.042
0.879	0.941	0.908	0.903	0.943	0.88	4.666	9.02
0.943	0.9	0.872	0.852	0.942	0.926	4.549	9.014
0.869	0.816	0.878	0.912	0.864	0.876	4.394	8.826
0.887	0.917	0.872	0.87	0.88	0.875	4.694	8.898
0.847	0.893	0.884	0.859	0.889	0.915	4.567	9.063
0.916	0.844	0.912	0.903	0.852	0.844	4.49	8.937
0.894	0.87	0.926	0.838	0.874	0.872	4.554	8.812
0.881	0.86	0.94	0.875	0.927	0.942	4.39	9.004
0.864	0.866	0.913	0.832	0.964	0.907	4.387	8.788
0.897	0.904	0.858	0.911	0.894	0.894	4.676	8.932
0.921	0.916	0.877	0.81	0.868	0.859	4.471	8.303
0.885	0.806	0.84	0.852	0.924	0.842	4.539	8.548
0.901	0.873	0.841	0.894	0.921	0.89	4.553	8.639
0.909	0.864	0.962	0.934	0.893	0.848	4.49	8.682
0.902	0.882	0.9	0.878	0.876	0.869	4.587	8.704
0.834	0.824	0.901	0.848	0.921	0.911	4.4	8.991
0.955	0.833	0.848	0.864	0.916	0.878	4.355	8.923
0.914	0.863	0.893	0.888	0.938	0.924	4.378	8.932
0.856	0.945	0.901	0.937	0.915	0.966	4.686	8.936
0.82	0.894	0.864	0.932	0.953	0.891	4.411	8.827
0.887	0.857	0.898	0.883	0.897	0.926	4.701	8.644
0.886	0.904	0.85	0.857	0.908	0.873	4.62	8.98
0.939	0.873	0.889	0.845	0.879	0.881	4.685	9.017
0.889	0.929	0.892	0.821	0.903	0.96	4.456	8.746
0.833	0.886	0.921	0.917	0.929	0.879	4.57	8.894
0.906	0.89	0.864	0.923	0.896	0.871	4.51	8.759
0.869	0.868	0.878	0.91	0.852	0.894	4.498	8.909
0.898	0.785	0.868		0.85	0.891	4.593	8.932
0.844	0.879	0.916		0.864	0.802	4.543	8.731
0.816	0.897	0.87		0.809	0.925	4.556	
0.877	0.988	0.881		0.886	0.861	4.599	
0.84	0.861	0.816		0.904	0.922	4.595	
0.879	0.893			0.856	0.891	4.519	
0.866	0.845			0.896	0.874	4.373	
0.909	0.906			0.92	0.914	4.554	
0.867	0.899			0.93	0.908	4.378	
	0.843			0.853	0.901	4.608	
	0.895			0.855	0.846	4.613	
	0.91			0.886	0.863	4.384	
	0.935			0.857	0.903	4.398	
	0.905			0.916	0.845	4.621	
	0.871			0.889	0.856	4.536	
	0.88			0.872	0.85	4.421	
	0.894			0.874	0.926	4.675	
	0.918			0.81		4.392	
	0.881			0.884		4.456	
	0.9			0.843		4.514	
	1.014			0.882		4.613	
	0.881			0.877		4.405	
	0.874			0.883		4.491	
	0.913			0.922		4.428	
	0.882			0.856		4.63	
	0.865			0.906		4.653	
	0.873			0.879		4.514	
	0.904			0.965		4.565	
	0.898			0.878		4.589	
	0.813			0.881		4.416	
	0.848			0.862		4.491	
	0.836			0.872		4.521	
	0.919			0.845		4.685	
	0.823			0.888		4.4	
	0.896			0.828		4.594	
	0.929			0.875		4.724	
	0.872			0.902		4.672	
	0.877			0.86		4.589	
	0.824			0.858		4.539	
	0.841			0.896			
	0.853			0.881			
	0.835			0.837			
	0.894			0.865			
	0.893			0.871			
	0.858			0.891			
	0.849			0.932			
				0.849			
				0.908			
				0.869			
				0.837			
				0.849			
				0.889			
