DATE	OPEN	HIGH	LOW	CLOSE
1896-05-27	29.39	29.39	29.39	29.39
1896-05-28	29.11	29.11	29.11	29.11
1896-05-29	29.43	29.43	29.43	29.43
1896-06-01	29.40	29.40	29.40	29.40
1896-06-02	29.00	29.00	29.00	29.00
1896-06-03	28.80	28.80	28.80	28.80
1896-06-04	28.93	28.93	28.93	28.93
1896-06-05	29.2	29.2	29.2	29.2
1896-06-08	28.83	28.83	28.83	28.83
1896-06-09	28.49	28.49	28.49	28.49
1896-06-10	27.82	27.82	27.82	27.82
1896-06-11	28.54	28.54	28.54	28.54
1896-06-12	28.47	28.47	28.47	28.47
1896-06-15	28.92	28.92	28.92	28.92
1896-06-16	29.3	29.3	29.3	29.3
1896-06-17	29.36	29.36	29.36	29.36
1896-06-18	28.8	28.8	28.8	28.8
1896-06-19	28.99	28.99	28.99	28.99
1896-06-22	28.05	28.05	28.05	28.05
1896-06-23	27.62	27.62	27.62	27.62
1896-06-24	27.72	27.72	27.72	27.72
1896-06-25	27.5	27.5	27.5	27.5
1896-06-26	27.44	27.44	27.44	27.44
1896-06-29	25.73	25.73	25.73	25.73
1896-06-30	26.18	26.18	26.18	26.18
1896-07-01	25.05	25.05	25.05	25.05
1896-07-02	25.28	25.28	25.28	25.28
1896-07-03	25.16	25.16	25.16	25.16
1896-07-06	25.25	25.25	25.25	25.25
1896-07-07	25.46	25.46	25.46	25.46
1896-07-08	25.49	25.49	25.49	25.49
1896-07-09	25.12	25.12	25.12	25.12
1896-07-10	25.23	25.23	25.23	25.23
1896-07-13	25.12	25.12	25.12	25.12
1896-07-14	24.21	24.21	24.21	24.21
1896-07-15	23.38	23.38	23.38	23.38
1896-07-16	23.14	23.14	23.14	23.14
1896-07-17	23.13	23.13	23.13	23.13
1896-07-20	22.09	22.09	22.09	22.09
1896-07-21	22.22	22.22	22.22	22.22
1896-07-22	23.17	23.17	23.17	23.17
1896-07-23	23.39	23.39	23.39	23.39
1896-07-24	22.84	22.84	22.84	22.84
1896-07-27	22.78	22.78	22.78	22.78
1896-07-28	22.32	22.32	22.32	22.32
1896-07-29	22.43	22.43	22.43	22.43
1896-07-30	22.8	22.8	22.8	22.8
1896-07-31	23.19	23.19	23.19	23.19
1896-08-03	22.81	22.81	22.81	22.81
1896-08-04	22.44	22.44	22.44	22.44
1896-08-05	22.4	22.4	22.4	22.4
1896-08-06	21.72	21.72	21.72	21.72
1896-08-07	20.76	20.76	20.76	20.76
1896-08-10	20.97	20.97	20.97	20.97
1896-08-11	21.94	21.94	21.94	21.94
1896-08-12	21.27	21.27	21.27	21.27
1896-08-13	22	22	22	22
1896-08-14	22.26	22.26	22.26	22.26
1896-08-17	22.5	22.5	22.5	22.5
1896-08-18	22.44	22.44	22.44	22.44
1896-08-19	22.68	22.68	22.68	22.68
1896-08-20	22.25	22.25	22.25	22.25
1896-08-21	22.13	22.13	22.13	22.13
1896-08-24	22.21	22.21	22.21	22.21
1896-08-25	22.17	22.17	22.17	22.17
1896-08-26	21.94	21.94	21.94	21.94
1896-08-27	21.95	21.95	21.95	21.95
1896-08-28	22.36	22.36	22.36	22.36
1896-08-31	23.15	23.15	23.15	23.15
1896-09-01	23.19	23.19	23.19	23.19
1896-09-02	24.26	24.26	24.26	24.26
1896-09-03	24.48	24.48	24.48	24.48
1896-09-04	25.13	25.13	25.13	25.13
1896-09-08	25.71	25.71	25.71	25.71
1896-09-09	25.63	25.63	25.63	25.63
1896-09-10	25.04	25.04	25.04	25.04
1896-09-11	25.57	25.57	25.57	25.57
1896-09-14	25.25	25.25	25.25	25.25
1896-09-15	24.72	24.72	24.72	24.72
1896-09-16	24.13	24.13	24.13	24.13
1896-09-17	24.86	24.86	24.86	24.86
1896-09-18	25.21	25.21	25.21	25.21
1896-09-21	25.73	25.73	25.73	25.73
1896-09-22	25.78	25.78	25.78	25.78
1896-09-23	25.91	25.91	25.91	25.91
1896-09-24	26.24	26.24	26.24	26.24
1896-09-25	26.51	26.51	26.51	26.51
1896-09-28	26.33	26.33	26.33	26.33
1896-09-29	26.31	26.31	26.31	26.31
1896-09-30	26.11	26.11	26.11	26.11
1896-10-01	26.08	26.08	26.08	26.08
1896-10-02	25.99	25.99	25.99	25.99
1896-10-05	26.02	26.02	26.02	26.02
1896-10-06	26.01	26.01	26.01	26.01
1896-10-07	25.57	25.57	25.57	25.57
1896-10-08	25.65	25.65	25.65	25.65
1896-10-09	25.32	25.32	25.32	25.32
1896-10-12	25.16	25.16	25.16	25.16
1896-10-13	26.2	26.2	26.2	26.2
1896-10-14	26.18	26.18	26.18	26.18
1896-10-15	26.22	26.22	26.22	26.22
1896-10-16	26.26	26.26	26.26	26.26
1896-10-19	26.44	26.44	26.44	26.44
1896-10-20	27.1	27.1	27.1	27.1
1896-10-21	27.03	27.03	27.03	27.03
1896-10-22	27.42	27.42	27.42	27.42
1896-10-23	27.88	27.88	27.88	27.88
1896-10-26	28.04	28.04	28.04	28.04
1896-10-27	28.16	28.16	28.16	28.16
1896-10-28	27.8	27.8	27.8	27.8
1896-10-29	27.34	27.34	27.34	27.34
1896-10-30	28.54	28.54	28.54	28.54
1896-11-02	29.64	29.64	29.64	29.64
1896-11-04	30.99	30.99	30.99	30.99
1896-11-05	30.32	30.32	30.32	30.32
1896-11-06	31.38	31.38	31.38	31.38
1896-11-09	32.19	32.19	32.19	32.19
1896-11-10	32.27	32.27	32.27	32.27
1896-11-11	32.11	32.11	32.11	32.11
1896-11-12	32.52	32.52	32.52	32.52
1896-11-13	32.23	32.23	32.23	32.23
1896-11-16	31.57	31.57	31.57	31.57
1896-11-17	31.57	31.57	31.57	31.57
1896-11-18	31.6	31.6	31.6	31.6
1896-11-19	31.46	31.46	31.46	31.46
1896-11-20	31.32	31.32	31.32	31.32
1896-11-23	31.11	31.11	31.11	31.11
1896-11-24	30.93	30.93	30.93	30.93
1896-11-25	30.76	30.76	30.76	30.76
1896-11-27	30.35	30.35	30.35	30.35
1896-11-30	29.69	29.69	29.69	29.69
1896-12-01	30.4	30.4	30.4	30.4
1896-12-02	30.38	30.38	30.38	30.38
1896-12-03	30.58	30.58	30.58	30.58
1896-12-04	30.47	30.47	30.47	30.47
1896-12-07	30.11	30.11	30.11	30.11
1896-12-08	30.13	30.13	30.13	30.13
1896-12-09	30.26	30.26	30.26	30.26
1896-12-10	30.04	30.04	30.04	30.04
1896-12-11	30	30	30	30
1896-12-14	29.27	29.27	29.27	29.27
1896-12-15	28.61	28.61	28.61	28.61
1896-12-16	28.94	28.94	28.94	28.94
1896-12-17	29.55	29.55	29.55	29.55
1896-12-18	27.95	27.95	27.95	27.95
1896-12-21	28.83	28.83	28.83	28.83
1896-12-22	28.63	28.63	28.63	28.63
1896-12-23	28.8	28.8	28.8	28.8
1896-12-24	28.98	28.98	28.98	28.98
1896-12-28	29.07	29.07	29.07	29.07
1896-12-29	29.35	29.35	29.35	29.35
1896-12-30	29.42	29.42	29.42	29.42
1896-12-31	29.3	29.3	29.3	29.3
1897-01-04	29.24	29.24	29.24	29.24
1897-01-05	29.6	29.6	29.6	29.6
1897-01-06	29.66	29.66	29.66	29.66
1897-01-07	29.6	29.6	29.6	29.6
1897-01-08	29.67	29.67	29.67	29.67
1897-01-11	29.51	29.51	29.51	29.51
1897-01-12	29.98	29.98	29.98	29.98
1897-01-13	30.02	30.02	30.02	30.02
1897-01-14	30.27	30.27	30.27	30.27
1897-01-15	30.61	30.61	30.61	30.61
1897-01-18	30.97	30.97	30.97	30.97
1897-01-19	31.32	31.32	31.32	31.32
1897-01-20	30.98	30.98	30.98	30.98
1897-01-21	30.8	30.8	30.8	30.8
1897-01-22	30.72	30.72	30.72	30.72
1897-01-25	30.35	30.35	30.35	30.35
1897-01-26	30.58	30.58	30.58	30.58
1897-01-27	30.57	30.57	30.57	30.57
1897-01-28	30.33	30.33	30.33	30.33
1897-01-29	30.46	30.46	30.46	30.46
1897-02-01	30.69	30.69	30.69	30.69
1897-02-02	30.43	30.43	30.43	30.43
1897-02-03	30.37	30.37	30.37	30.37
1897-02-04	29.91	29.91	29.91	29.91
1897-02-05	29.86	29.86	29.86	29.86
1897-02-08	29.77	29.77	29.77	29.77
1897-02-09	29.38	29.38	29.38	29.38
1897-02-10	29.38	29.38	29.38	29.38
1897-02-11	29.17	29.17	29.17	29.17
